Feature_ID,Pass_N,Fail_N,Pass_Mean,Fail_Mean,F_stat,p_value,Eta_Squared,BH_Adjusted_p,BH_Significant,Bonferroni_Adjusted_p,Bonferroni_Significant
111,519,30,231.8765227360308,230.82198333333335,7.195969658958011,0.007527716187383376,0.012984521817049236,0.10328726861758585,False,1.0,False
249,1463,104,0.0007857826384142174,0.004996153846153845,6.946863556926773,0.008479593789939654,0.004419273779526958,0.11331350879234786,False,1.0,False
387,1463,104,0.00025105946684894046,0.0015798076923076924,6.912664474078633,0.008642555755348566,0.004397613576318777,0.11331350879234786,False,1.0,False
100,1457,104,-2.7453671928620443e-05,6.538461538461539e-05,6.642681492377493,0.010047559767552212,0.004242782577979835,0.12887087527947402,False,1.0,False
56,1460,103,0.928733698630137,0.9304883495145633,6.414424847563085,0.011416971069752901,0.004092360479704021,0.1433194240671109,False,1.0,False
460,1462,104,28.98199001367989,32.225772115384615,5.7625349797404395,0.01648765248744356,0.0036709596842396356,0.19888015949781365,False,1.0,False
200,1456,104,17.459471153846152,19.570288461538464,5.743537431765822,0.01666668200403905,0.003672940795137557,0.19888015949781365,False,1.0,False
95,1457,104,5.8339052848318466e-05,8.365384615384616e-05,5.723800849205804,0.01685425080489946,0.0036580263213861703,0.19888015949781365,False,1.0,False
63,1456,104,13.875941071428569,15.585729807692307,5.614295264944276,0.01793582791205053,0.003590588345185843,0.2048695809265074,False,1.0,False
247,781,71,0.05174135723431498,0.07132816901408451,5.612413943632889,0.018056302047759973,0.00655952841750451,0.2048695809265074,False,1.0,False
471,1457,104,9.476705078929307,11.909639423076923,5.567072723041956,0.0184240251089368,0.0035582192800164064,0.20509763800514552,False,1.0,False
557,1221,86,1.5912058149058148,2.075467441860465,5.40351045609284,0.020249112621042464,0.004123546993713503,0.21630873440495724,False,1.0,False
554,1221,86,0.4934769041769042,0.6481976744186047,5.380852919795481,0.02051261244586997,0.004106327490825164,0.21630873440495724,False,1.0,False
551,1221,86,1.2075757575757575,1.5591860465116278,5.379283226725167,0.02053099851979255,0.004105134517602433,0.21630873440495724,False,1.0,False
455,1462,104,3.6225541039671683,3.834556730769231,4.968452184844731,0.02595533468772043,0.003166699864440228,0.2663356963057166,False,1.0,False
